tray,pos,hpi,genotype,cluster,size
1,C_12,48,cyp,Chlorotic,0.11442786069651742
1,C_12,72,cyp,Chlorotic,0.024324324324324326
1,C_12,96,cyp,Chlorotic,0.07255048616305161
1,A_01,0,Col-0,Necrotic,0.0024382810118866198
1,A_01,24,Col-0,Necrotic,0.031326034063260344
1,A_01,48,Col-0,Necrotic,0.2103046014257939
1,A_01,72,Col-0,Necrotic,0.37822552138564863
1,A_01,96,Col-0,Necrotic,0.25085518814139113
1,A_02,0,Col-0,Necrotic,0.0019524894240156199
1,A_02,24,Col-0,Necrotic,0.07197696737044146
1,A_02,48,Col-0,Necrotic,0.26846057571964954
1,A_02,72,Col-0,Necrotic,0.1914428482198626
1,A_02,96,Col-0,Necrotic,0.22587931590835753
1,A_03,0,Col-0,Necrotic,0.0016535758577924762
1,A_03,24,Col-0,Necrotic,0.015402843601895734
1,A_03,48,Col-0,Necrotic,0.16022944550669216
1,A_03,72,Col-0,Necrotic,0.13771106941838648
1,A_03,96,Col-0,Necrotic,0.14874484825777445
1,A_04,0,Col-0,Necrotic,0.006502890173410405
1,A_04,24,Col-0,Necrotic,0.049569707401032705
1,A_04,48,Col-0,Necrotic,0.19205729166666666
1,A_04,72,Col-0,Necrotic,0.10976408912188729
1,A_04,96,Col-0,Necrotic,0.10670223407802601
1,A_05,0,Col-0,Necrotic,0.006119951040391677
1,A_05,24,Col-0,Necrotic,0.02830472749171936
1,A_05,48,Col-0,Necrotic,0.23378537735849056
1,A_05,72,Col-0,Necrotic,0.22899850523168908
1,A_05,96,Col-0,Necrotic,0.19057560393677303
1,A_06,0,Col-0,Necrotic,0.005148741418764302
1,A_06,24,Col-0,Necrotic,0.040055632823365786
1,A_06,48,Col-0,Necrotic,0.3107776261937244
1,A_06,72,Col-0,Necrotic,0.13173156586578294
1,A_06,96,Col-0,Necrotic,0.11873944850872256
1,A_07,0,Col-0,Necrotic,0.005490483162518302
1,A_07,24,Col-0,Necrotic,0.03570086433671552
1,A_07,48,Col-0,Necrotic,0.3980690679539547
1,A_07,72,Col-0,Necrotic,0.09211986681465038
1,A_07,96,Col-0,Necrotic,0.09164325842696629
1,A_08,0,Col-0,Necrotic,0.013964577656675749
1,A_08,24,Col-0,Necrotic,0.022563767168083716
1,A_08,48,Col-0,Necrotic,0.1340909090909091
1,A_08,72,Col-0,Necrotic,0.0943885825494648
